2017:05:30:15:56:44.665,0.187,-0.153,-1.018
2017:05:30:15:56:44.724,0.214,-0.167,-0.916
2017:05:30:15:56:44.782,0.154,-0.155,-0.932
2017:05:30:15:56:44.841,0.081,-0.213,-0.968
2017:05:30:15:56:44.899,0.166,-0.17,-0.959
2017:05:30:15:56:44.958,0.111,-0.223,-0.898
2017:05:30:15:56:45.016,-0.07,-0.159,-0.883
2017:05:30:15:56:45.074,0.295,-0.114,-0.929
2017:05:30:15:56:45.133,0.047,-0.137,-0.878
2017:05:30:15:56:45.191,0.166,-0.208,-1.037
2017:05:30:15:56:45.249,0.062,-0.149,-0.97
2017:05:30:15:56:45.307,0.035,-0.194,-0.902
2017:05:30:15:56:45.366,0.265,-0.154,-1.004
2017:05:30:15:56:45.423,0.22,-0.259,-1.024
2017:05:30:15:56:45.482,0.229,-0.198,-0.963
2017:05:30:15:56:45.540,0.233,-0.176,-0.812
2017:05:30:15:56:45.599,0.171,-0.231,-0.923
2017:05:30:15:56:45.659,0.068,-0.14,-0.906
2017:05:30:15:56:45.717,0.435,-0.135,-1.072
2017:05:30:15:56:45.774,0.238,-0.237,-1.048
2017:05:30:15:56:45.832,0.109,-0.235,-1.127
2017:05:30:15:56:45.896,-0.046,-0.105,-0.944
2017:05:30:15:56:45.949,-0.043,-0.2,-0.846
2017:05:30:15:56:46.010,0.104,-0.205,-1.036
2017:05:30:15:56:46.066,0.167,-0.221,-1.053
2017:05:30:15:56:46.126,0.02,-0.142,-0.958
2017:05:30:15:56:46.184,0.033,-0.234,-0.959
2017:05:30:15:56:46.243,0.071,-0.177,-0.989
2017:05:30:15:56:46.300,0.123,-0.167,-0.913
2017:05:30:15:56:46.359,0.211,-0.154,-0.889
2017:05:30:15:56:46.417,0.188,-0.216,-0.965
2017:05:30:15:56:46.475,0.243,-0.178,-1.093
2017:05:30:15:56:46.534,0.081,-0.122,-1.036
2017:05:30:15:56:46.592,0.037,-0.225,-0.976
2017:05:30:15:56:46.650,0.1,-0.205,-1.012
2017:05:30:15:56:46.709,0.048,-0.132,-0.972
2017:05:30:15:56:46.767,0.017,-0.146,-0.899
