X-Axis,Y-Axis,Z-Axis
-0.549,0,-0.833
-0.545,-0.002,-0.833
-0.55,-0.003,-0.834
-0.548,-0.005,-0.835
-0.549,-0.009,-0.834
-0.547,-0.005,-0.834
-0.552,-0.003,-0.832
-0.551,-0.001,-0.834
-0.548,-0.003,-0.834
-0.548,-0.004,-0.834
-0.548,-0.008,-0.833
-0.545,-0.004,-0.835
-0.554,-0.002,-0.837
-0.549,0,-0.832
-0.551,-0.003,-0.835
-0.549,-0.003,-0.833
-0.55,-0.007,-0.833
-0.55,-0.007,-0.835
-0.547,-0.004,-0.832
-0.547,-0.004,-0.833
-0.549,-0.002,-0.832
-0.549,-0.003,-0.834
-0.548,-0.005,-0.835
-0.546,-0.006,-0.832
-0.504,0.008,-0.796
-0.559,-0.007,-0.843
-0.549,-0.006,-0.841
-0.558,0,-0.826
-0.545,-0.011,-0.83
-0.541,0,-0.824
-0.556,-0.001,-0.838
-0.548,-0.003,-0.83
-0.545,0,-0.834
-0.553,-0.01,-0.835
-0.547,-0.001,-0.827
-0.552,-0.01,-0.837
-0.55,-0.002,-0.834
-0.552,-0.006,-0.836
-0.55,-0.007,-0.832
-0.549,-0.002,-0.828
-0.549,-0.006,-0.837
-0.55,-0.005,-0.835
-0.545,-0.005,-0.834
-0.544,-0.002,-0.833
-0.55,0.005,-0.828
-0.553,-0.007,-0.836
-0.552,-0.005,-0.828
-0.548,-0.004,-0.831
-0.551,-0.003,-0.835
-0.55,-0.002,-0.835
-0.544,-0.006,-0.837
-0.548,-0.004,-0.831
-0.549,-0.005,-0.835
-0.55,-0.007,-0.833
-0.55,-0.004,-0.83
-0.552,-0.007,-0.834
-0.552,-0.004,-0.831
-0.547,-0.006,-0.834
-0.546,-0.006,-0.834
-0.549,-0.001,-0.833
-0.545,-0.004,-0.833
-0.55,-0.005,-0.835
-0.551,-0.006,-0.834
-0.549,-0.005,-0.831
-0.55,-0.004,-0.834
-0.552,-0.002,-0.832
-0.55,0.001,-0.834
-0.521,0.061,-0.837
-0.624,0,-0.919
-0.511,-0.109,-0.775
-0.492,-0.042,-0.803
-0.528,0.007,-0.819
-0.585,0.027,-0.842
-0.544,0.011,-0.823
-0.55,-0.008,-0.829
-0.54,-0.015,-0.835
-0.551,-0.017,-0.835
-0.557,-0.003,-0.83
-0.548,-0.008,-0.831
-0.547,0.003,-0.829
-0.549,0.004,-0.829
-0.554,-0.001,-0.836
-0.549,-0.012,-0.835
-0.547,-0.011,-0.834
-0.548,-0.007,-0.832
-0.551,-0.002,-0.832
-0.548,0,-0.834
-0.55,-0.001,-0.834
-0.55,-0.007,-0.832
-0.549,-0.007,-0.833
-0.55,-0.006,-0.831
-0.551,-0.005,-0.834
-0.55,-0.003,-0.832
-0.549,-0.004,-0.832
-0.55,-0.003,-0.833
-0.549,-0.006,-0.833
-0.547,-0.004,-0.833
-0.551,-0.005,-0.834
-0.549,-0.005,-0.833
-0.551,-0.004,-0.833
-0.549,-0.002,-0.833
-0.55,-0.005,-0.838
-0.546,-0.004,-0.832
-0.548,-0.006,-0.835
-0.549,-0.005,-0.837
-0.548,-0.003,-0.832
-0.55,-0.001,-0.835
-0.55,-0.003,-0.834
-0.55,-0.007,-0.832
-0.55,-0.006,-0.832
-0.551,-0.005,-0.836
-0.55,-0.005,-0.835
-0.549,-0.003,-0.832
-0.549,-0.002,-0.833
-0.55,-0.006,-0.836
-0.55,-0.005,-0.836
-0.548,-0.006,-0.834
-0.55,-0.006,-0.833
-0.549,-0.004,-0.834
-0.55,-0.003,-0.834
-0.548,-0.003,-0.834
-0.549,-0.005,-0.835
-0.546,-0.007,-0.833
-0.549,-0.006,-0.835
-0.549,-0.004,-0.835
-0.548,-0.003,-0.834
-0.549,-0.002,-0.834
-0.55,-0.003,-0.835
-0.551,-0.004,-0.835
-0.549,-0.004,-0.835
-0.548,-0.005,-0.834
-0.549,-0.002,-0.834
-0.549,-0.004,-0.834
-0.55,-0.004,-0.835
-0.55,-0.006,-0.836
-0.549,-0.005,-0.834
-0.552,-0.005,-0.836
-0.546,-0.004,-0.837
-0.549,-0.005,-0.833
-0.551,-0.004,-0.833
-0.547,-0.006,-0.834
-0.547,-0.006,-0.833
-0.552,-0.005,-0.834
-0.549,-0.003,-0.832
-0.55,-0.004,-0.834
-0.549,-0.007,-0.833
-0.549,-0.007,-0.836
-0.55,-0.005,-0.834
-0.549,-0.005,-0.83
-0.55,-0.002,-0.833
-0.552,-0.004,-0.833
-0.549,-0.002,-0.834
-0.55,-0.004,-0.833
-0.55,-0.007,-0.834
-0.548,-0.005,-0.834
-0.55,-0.004,-0.833
-0.549,-0.003,-0.835
-0.549,-0.004,-0.831
-0.548,-0.004,-0.835
-0.547,-0.003,-0.835
-0.549,-0.006,-0.834
-0.549,-0.004,-0.834
-0.549,-0.003,-0.833
-0.549,-0.003,-0.833
-0.552,-0.003,-0.833
-0.549,-0.007,-0.835
-0.549,-0.005,-0.831
-0.549,-0.006,-0.834
-0.548,-0.005,-0.833
-0.548,-0.005,-0.833
-0.549,-0.004,-0.833
-0.549,-0.005,-0.835
-0.551,-0.005,-0.833
-0.548,-0.006,-0.833
-0.548,-0.004,-0.834
-0.548,-0.005,-0.835
-0.55,-0.003,-0.834
-0.547,-0.006,-0.835
-0.548,-0.006,-0.833
-0.547,-0.004,-0.835
-0.551,-0.006,-0.835
-0.551,-0.005,-0.833
-0.548,-0.005,-0.835
-0.548,-0.004,-0.833
-0.547,-0.004,-0.834
-0.549,-0.006,-0.834
-0.548,-0.005,-0.833
-0.553,-0.004,-0.837
-0.541,-0.007,-0.836
-0.547,-0.001,-0.836
-0.56,-0.002,-0.838
-0.535,-0.004,-0.833
-0.553,-0.006,-0.835
-0.55,-0.005,-0.832
-0.548,-0.005,-0.832
-0.553,-0.005,-0.834
-0.546,-0.003,-0.83
-0.554,-0.003,-0.84
